# Cleaned spectrum data (original units)
# Format: Wavelength(nm) Flux(Wm^-2nm^-1)
# Created with Python spectrum processing script
# Object: DR4_3_SPLUS-n13s01_0024584
# Processing_date: 2025-08-12
# Original_file: n13s01_new_apOIII.txt
# Note: Original units
# Wavelength_units: nm
# 
# Wavelength    Flux
# ---------    ----
444.9043    4.362967e-19
444.9547    4.267085e-19
445.0052    4.363071e-19
445.0556    4.358018e-19
445.1061    4.418102e-19
445.1565    4.688930e-19
445.2069    4.630642e-19
445.2574    4.295386e-19
445.3078    4.513942e-19
445.3583    4.669739e-19
445.4087    4.667583e-19
445.4591    4.419968e-19
445.5096    4.335313e-19
445.5600    4.343525e-19
445.6105    4.056133e-19
445.6609    4.306079e-19
445.7113    4.019863e-19
445.7618    3.998978e-19
445.8122    4.382535e-19
445.8627    4.503408e-19
445.9131    4.541132e-19
445.9635    4.679400e-19
446.0140    4.390293e-19
446.0644    4.435540e-19
446.1149    4.036014e-19
446.1653    4.170592e-19
446.2157    4.224872e-19
446.2662    4.362340e-19
446.3166    4.042685e-19
446.3671    4.216775e-19
446.4175    4.310733e-19
446.4680    4.098962e-19
446.5184    3.823600e-19
446.5688    4.219252e-19
446.6193    4.511816e-19
446.6697    3.986741e-19
446.7202    4.362386e-19
446.7706    4.456101e-19
446.8210    4.308599e-19
446.8715    4.119040e-19
446.9219    4.390265e-19
446.9724    4.121771e-19
447.0228    4.282232e-19
447.0732    4.206059e-19
447.1237    4.395748e-19
447.1741    4.458718e-19
447.2246    4.409831e-19
447.2750    4.184826e-19
447.3254    4.235915e-19
447.3759    4.211424e-19
447.4263    4.478115e-19
447.4768    4.295174e-19
447.5272    4.371049e-19
447.5776    4.487867e-19
447.6281    4.754234e-19
447.6785    4.387928e-19
447.7290    4.384489e-19
447.7794    4.193693e-19
447.8298    4.064676e-19
447.8803    3.859919e-19
447.9307    4.075512e-19
447.9812    4.101713e-19
448.0316    4.141186e-19
448.0820    4.634588e-19
448.1325    4.101854e-19
448.1829    4.182525e-19
448.2334    4.079598e-19
448.2838    4.226989e-19
448.3342    3.789191e-19
448.3847    3.944961e-19
448.4351    4.208959e-19
448.4856    4.491504e-19
448.5360    4.566667e-19
448.5864    4.385738e-19
448.6369    4.367616e-19
448.6873    4.293929e-19
448.7378    4.278406e-19
448.7882    4.595997e-19
448.8387    4.138824e-19
448.8891    4.378389e-19
448.9395    4.089301e-19
448.9900    4.167737e-19
449.0404    3.907541e-19
449.0909    4.222470e-19
449.1413    4.148476e-19
