# Cleaned spectrum data (original units)
# Format: Wavelength(nm) Flux(Wm^-2nm^-1)
# Created with Python spectrum processing script
# Object: DR4_3_SPLUS-n14s01_0028263
# Processing_date: 2025-08-12
# Original_file: n14s01_1D_aberturaOIII.fits
# Note: Original units
# Wavelength_units: nm
# 
# Wavelength    Flux
# ---------    ----
431.7788    1.157215e-18
431.8292    1.158761e-18
431.8797    1.099845e-18
431.9301    1.124680e-18
431.9805    1.181303e-18
432.0310    1.191138e-18
432.0814    1.117820e-18
432.1318    1.101072e-18
432.1823    1.166612e-18
432.2327    1.203592e-18
432.2831    1.097597e-18
432.3335    1.168110e-18
432.3840    1.082110e-18
432.4344    1.088161e-18
432.4848    1.126407e-18
432.5353    1.082780e-18
432.5857    1.152112e-18
432.6361    1.188461e-18
432.6866    1.125068e-18
432.7370    1.090694e-18
432.7874    1.084029e-18
432.8378    1.122218e-18
432.8883    1.121727e-18
432.9387    1.140064e-18
432.9891    1.158497e-18
433.0396    1.142254e-18
433.0900    1.153660e-18
433.1404    1.118912e-18
433.1908    1.150738e-18
433.2413    1.123691e-18
433.2917    1.086778e-18
433.3421    1.120851e-18
433.3926    1.154368e-18
433.4430    1.112649e-18
433.4934    1.186651e-18
433.5439    1.142247e-18
433.5943    1.091602e-18
433.6447    1.136515e-18
433.6951    1.206554e-18
433.7456    1.245365e-18
433.7960    1.138246e-18
433.8464    1.062519e-18
433.8969    1.105996e-18
433.9473    1.095891e-18
433.9977    1.109622e-18
434.0482    1.097119e-18
434.0986    1.113400e-18
434.1490    1.167308e-18
434.1994    1.158174e-18
434.2499    1.135637e-18
434.3003    1.125657e-18
434.3507    1.187919e-18
434.4012    1.161625e-18
434.4516    1.119407e-18
434.5020    1.143172e-18
434.5524    1.125956e-18
434.6029    1.077960e-18
434.6533    1.086795e-18
434.7037    1.094350e-18
434.7542    1.153077e-18
434.8046    1.103898e-18
434.8550    1.139473e-18
434.9055    1.139810e-18
434.9559    1.108542e-18
435.0063    1.086488e-18
435.0567    1.078496e-18
435.1072    1.147319e-18
435.1576    1.141139e-18
435.2080    1.122102e-18
435.2585    1.108645e-18
435.3089    1.097398e-18
435.3593    1.089574e-18
435.4098    1.134604e-18
435.4602    1.133218e-18
435.5106    1.174948e-18
435.5610    1.133576e-18
435.6115    1.121652e-18
435.6619    1.121644e-18
435.7123    1.088685e-18
435.7628    1.118544e-18
435.8132    1.095608e-18
435.8636    1.099535e-18
435.9140    1.103053e-18
435.9645    1.144002e-18
436.0149    1.118207e-18
436.0653    1.097754e-18
436.1158    1.177454e-18
436.1662    1.118743e-18
436.2166    1.145434e-18
436.2671    1.057860e-18
436.3175    1.057435e-18
436.3679    1.118664e-18
436.4183    1.100670e-18
436.4688    1.066602e-18
436.5192    1.102872e-18
436.5696    1.033578e-18
436.6201    1.048370e-18
436.6705    1.054223e-18
436.7209    1.100979e-18
436.7714    1.016038e-18
436.8218    1.062977e-18
436.8722    1.077206e-18
436.9226    1.109348e-18
436.9731    1.087831e-18
437.0235    1.025426e-18
437.0739    1.119309e-18
437.1244    1.089509e-18
437.1748    1.059843e-18
437.2252    1.070666e-18
437.2756    1.038361e-18
437.3261    1.079668e-18
437.3765    1.070471e-18
437.4269    1.028230e-18
437.4774    1.065709e-18
437.5278    1.075749e-18
437.5782    1.096076e-18
437.6287    1.083497e-18
437.6791    1.097384e-18
437.7295    1.126682e-18
437.7799    1.093502e-18
437.8304    1.022385e-18
437.8808    1.027010e-18
437.9312    1.038617e-18
437.9817    1.048153e-18
438.0321    1.028151e-18
438.0825    1.073049e-18
438.1330    1.069607e-18
438.1834    9.956156e-19
438.2338    1.109027e-18
438.2842    1.073640e-18
438.3347    1.098868e-18
438.3851    1.030714e-18
438.4355    1.042729e-18
438.4860    1.122242e-18
438.5364    1.125485e-18
438.5868    1.043815e-18
438.6372    1.047071e-18
438.6877    1.058746e-18
438.7381    1.080565e-18
438.7885    1.031001e-18
438.8390    1.073744e-18
