4638.85 & O~{\sc ii}      
4638.86 & O~{\sc ii}      
4640.64 & N~{\sc iii}     
4641.81 & O~{\sc ii}      
4641.84 & N~{\sc iii}     
4643.08 & N~{\sc ii}      
4643.09 & N~{\sc ii}      
4647.42 & C~{\sc iii}     
4649.13 & O~{\sc ii}      
4650.25 & C~{\sc iii}     
4650.84 & O~{\sc ii}      
4651.47 & C~{\sc iii}     
4658.10 & [Fe~{\sc iii}]  
4658.64 & C~{\sc iv}      
4659.04 & O~{\sc ii}      
4661.63 & O~{\sc ii}      
4669.27 & O~{\sc ii}      
4669.43 & O~{\sc ii}      
4673.73 & O~{\sc ii}      
4676.23 & O~{\sc ii}      
4676.24 & O~{\sc ii}      
4677.07 & O~{\sc ii}      
4678.14 & N~{\sc ii}      
4680.58 & O~{\sc ii}      
4680.77 & O~{\sc ii}      
4681.80 & O~{\sc ii}      
4685.68 & He~{\sc ii}     
4693.19 & O~{\sc ii}      
4696.35 & O~{\sc ii}      
4699.22 & O~{\sc ii}      
4701.62 & [Fe~{\sc iii}]  
4705.35 & O~{\sc ii}      
4707.48 & O~{\sc ii}      
4707.81 & O~{\sc ii}      
4710.01 & O~{\sc ii}      
4711.37 & [Ar~{\sc iv}]   
4713.17 & He~{\sc i}      
4714.17 & [Ne~{\sc iv}]   
4715.21 & [Ne~{\sc iv}]b
4715.66 & [Ne~{\sc iv}]   
4717.99 & O~{\sc ii}      
4724.15 & [Ne~{\sc iv}]   
4724.89 & [Ne~{\sc iv}]b
4725.62 & [Ne~{\sc iv}]   
4733.91 & [Fe~{\sc iii}]  
4740.17 & [Ar~{\sc iv}]   
4741.71 & O~{\sc ii}      
4751.27 & O~{\sc ii}      
4752.68 & O~{\sc ii}      
4753.05 & O~{\sc ii}      
4754.69 & [Fe~{\sc iii}]  
4754.7  & [Fe III]        
4769.4  & [Fe III]        
4774.06 & O~{\sc ii}      
4774.24 & N~{\sc ii}      
4779.72 & N~{\sc ii}      
4781.19 & N~{\sc ii}      
4788.13 & N~{\sc ii}      
4793.65 & N~{\sc ii}      
4800.99 & O~{\sc ii}      
4802.23 & C~{\sc ii}      
4803.29 & N~{\sc ii}      
4810.31 & N~{\sc ii}      
4814.53 & [Fe~{\sc ii}]   
4815.55 & S~{\sc ii}      
4817.93 & O~{\sc ii}      
4844.91 & O~{\sc ii}      
4856.40 & O~{\sc ii}      
4856.76 & O~{\sc ii}      
4859.32 & He~{\sc ii}     
4861.33 & H~{\sc i}       
4864.88 & O~{\sc ii}      
4881.11 & [Fe~{\sc iii}]  
4890.86 & O~{\sc ii}      
4906.83 & [Fe~{\sc iv}]   
4921.93 & He~{\sc i}      
4923.93 & [Fe~{\sc ii}]   
4924.53 & O~{\sc ii}      
4931.80 & [O~{\sc iii}]   
4958.91 & [O~{\sc iii}]   
4987.37 & N~{\sc ii}      
4994.36 & N~{\sc ii}      
5001.14 & N~{\sc ii}      
5001.48 & N~{\sc ii}      
5002.70 & N~{\sc ii}      
5005.15 & N~{\sc ii}      
5006.84 & [O~{\sc iii}]   
5007.32 & N~{\sc ii}      
5010.62 & N~{\sc ii}      
5015.68 & He~{\sc i}      
5016.39 & N~{\sc ii}      
5025.66 & N~{\sc ii}      
5040.72 & N~{\sc ii}      
5045.10 & N~{\sc ii}      
5047.74 & He~{\sc i}      
5122.00 & C~{\sc ii}      
5159.94 & O~{\sc ii}      
5175.90 & O~{\sc ii}      
5190.50 & O~{\sc ii}      
5191.82 & [Ar~{\sc iii}]  
5199.84 & [N~{\sc i}]     
5200.26 & [N~{\sc i}]     
5206.65 & O~{\sc ii}      
5224.78 & O~{\sc ii}      
5270.40 & [Fe~{\sc iii}]  
5342.38 & C~{\sc ii}      
5345.90 & [Kr~{\sc iv}]   
5381.77 & O~{\sc ii}      
5391.74 & O~{\sc ii}      
5399.13 & O~{\sc ii}      
5409.20 & O~{\sc ii}      
5411.52 & He~{\sc ii}     
5423.64 & O~{\sc ii}      
5441.30 & O~{\sc ii}      
5443.32 & O~{\sc ii}      
5452.08 & N~{\sc ii}      
5453.83 & S~{\sc ii}      
5454.22 & N~{\sc ii}      
5461.04 & O~{\sc ii}      
5462.59 & N~{\sc ii}      
5478.10 & N~{\sc ii}      
5480.06 & N~{\sc ii}      
5483.01 & O~{\sc ii}      
5495.67 & N~{\sc ii}      
5517.66 & [Cl~{\sc iii}]  
5537.60 & [Cl~{\sc iii}]  
5577.34 & [O~{\sc i}]     
5666.63 & N~{\sc ii}      
5676.02 & N~{\sc ii}      
5679.56 & N~{\sc ii}      
5686.21 & N~{\sc ii}      
5695.92 & C~{\sc iii}     
5710.77 & N~{\sc ii}      
5730.65 & N~{\sc ii}      
5754.60 & [N~{\sc ii}]    
5801.51 & C~{\sc iv}      
5812.14 & C~{\sc iv}      
5868.00 & [Kr~{\sc iv}]   
5875.66 & He~{\sc i}      
5890.00 & C~{\sc ii}      
5927.81 & N~{\sc ii}      
5931.78 & N~{\sc ii}      
5940.24 & N~{\sc ii}      
5941.65 & N~{\sc ii}      
5952.39 & N~{\sc ii}      
5960.90 & N~{\sc ii}      
5978.97 & S~{\sc iii}     
6036.70 & He~{\sc ii}     
6074.19 & He~{\sc ii}     
6101.83 & [K~{\sc iv}]    
6114.60 & N~{\sc ii}      
6118.26 & He~{\sc ii}     
6136.89 & N~{\sc ii}      
6150.76 & N~{\sc ii}      
6151.43 & C~{\sc ii}      
6167.76 & N~{\sc ii}      
6170.17 & N~{\sc ii}      
6170.69 & He~{\sc ii}     
6173.31 & N~{\sc ii}      
6233.80 & He~{\sc ii}     
6259.00 & C~{\sc ii}      
6300.30 & [O~{\sc i}]     
6300.34 & [O~{\sc i}]     
6310.85 & He~{\sc ii}     
6312.10 & [S~{\sc iii}]   
6347.10 & Si~{\sc ii}     
6363.78 & [O~{\sc i}]     
6371.38 & S~{\sc iii}     
6393.60 & [Mn~{\sc v}]    
6406.38 & He~{\sc ii}     
6434.73 & [Ar~{\sc v}]    
6461.95 & C~{\sc ii}      
6482.05 & N~{\sc ii}      
6527.10 & He~{\sc ii}     
6548.10 & [N~{\sc ii}]    
6560.10 & He~{\sc ii}     
6562.77 & H~{\sc i}       
6578.05 & C~{\sc ii}      
6583.50 & [N~{\sc ii}]    
6610.56 & N~{\sc ii}      
6641.05 & O~{\sc ii}      
6678.16 & He~{\sc i}      
6683.20 & He~{\sc ii}     
6716.44 & [S~{\sc ii}]    
6721.40 & O~{\sc ii}      
6730.82 & [S~{\sc ii}]    
6795.00 & [K~{\sc iv}]    
6890.90 & He~{\sc ii}     
7005.67 & [Ar~{\sc v}]    
7065.25 & He~{\sc i}      
7135.80 & [Ar~{\sc iii}]  
7160.56 & He~{\sc i}      
7177.52 & He~{\sc ii}     
7231.32 & C~{\sc ii}      
7235.00 & C~{\sc ii}b     
7236.19 & C~{\sc ii}      
7236.42 & C~{\sc ii}      
7237.17 & C~{\sc ii}      
7237.26 & [Ar~{\sc iv}]   
7254.38 & O~{\sc i}       
7262.76 & [Ar~{\sc iv}]   
7281.35 & He~{\sc i}      
7298.04 & He~{\sc i}      
