# lambda flux
# nm F$_{\lambda}$[W$m^{-2}\,nm^{-1}$]
437.1669267203012 2.1085032535127833e-18
437.267872199384 2.077422696858264e-18
437.3688176784668 1.9984080040441486e-18
437.46976315754955 2.0136264567629875e-18
437.5707086366324 1.9485820549989737e-18
437.67165411571517 2.017933939015864e-18
437.77259959479795 2.0621627277850038e-18
437.87354507388073 1.9626152389690384e-18
437.9744905529635 1.90848754996831e-18
438.07543603204635 1.915789860582919e-18
438.1763815111291 1.989791002585591e-18
438.2773269902119 1.95362963571834e-18
438.3782724692947 1.956612208291071e-18
438.4792179483775 1.9491662675365693e-18
438.58016342746026 1.892997015293375e-18
438.68110890654305 1.8742797340256714e-18
438.7820543856259 1.902875536927662e-18
438.8829998647086 1.891735066807826e-18
438.98394534379145 1.8906254061121066e-18
439.08489082287423 1.8949821382926937e-18
439.185836301957 1.8532023672680285e-18
439.28678178103985 1.8751094743678193e-18
439.3877272601226 2.184374953399387e-18
439.4886727392054 2.5238576485705604e-18
439.58961821828814 2.714786137440438e-18
439.690563697371 2.8480002753420704e-18
439.79150917645376 3.040814723073822e-18
439.89245465553654 3.2821632035308052e-18
439.9934001346194 3.346946154692224e-18
440.0943456137021 3.0615754040115025e-18
440.19529109278494 2.772310423691892e-18
440.2962365718677 2.54761621948572e-18
440.3971820509505 2.2267140671667852e-18
440.4981275300333 1.8696792748503776e-18
440.59907300911607 1.6804113779079522e-18
440.7000184881989 1.6567586829428842e-18
440.80096396728163 1.697685609464987e-18
440.90190944636447 1.7788224372295384e-18
441.00285492544725 1.8378159605016623e-18
441.10380040453003 1.8157438811864243e-18
441.2047458836128 1.830817251864866e-18
441.3056913626956 1.9042914070923462e-18
441.40663684177844 1.9013836305746102e-18
441.50758232086116 1.9062008628085997e-18
441.608527799944 2.0524412701194416e-18
441.7094732790268 2.084041587773618e-18
441.81041875810956 2.1286219174632226e-18
441.91136423719234 2.1512179542858994e-18
442.0123097162751 2.1542802958991093e-18
442.11325519535797 2.2940389234264865e-18
442.2142006744407 2.2746528796815783e-18
442.31514615352353 2.223107160422598e-18
442.4160916326063 2.223206311691453e-18
442.5170371116891 2.2147782754242615e-18
442.61798259077193 2.162490910380346e-18
442.71892806985466 2.044454744623608e-18
442.8198735489375 2.0127050781510104e-18
442.9208190280202 1.9488126417862134e-18
443.02176450710306 1.902935084083574e-18
443.12270998618584 1.8384608580967903e-18
443.2236554652686 1.8571041115799915e-18
443.32460094435146 1.965261072238078e-18
443.4255464234342 1.960395546863819e-18
443.526491902517 1.9057142520768113e-18
443.6274373815998 1.9624932704859022e-18
443.7283828606826 1.9890678633580056e-18
443.82932833976537 1.939499132193023e-18
443.93027381884815 1.95306768355538e-18
444.031219297931 1.940336487293662e-18
444.1321647770137 1.9535560101696694e-18
444.23311025609655 1.9280270781175655e-18
444.33405573517933 1.888653707494143e-18
444.4350012142621 1.8706418342362584e-18
444.5359466933449 1.7820509383589778e-18
444.6368921724277 1.8004709508044304e-18
444.7378376515105 1.9203817158760596e-18
444.83878313059324 1.90774488179468e-18
444.9397286096761 1.8735291916710046e-18
445.04067408875886 1.81206410394069e-18
445.14161956784164 1.839542022185943e-18
445.2425650469245 1.9041624841699683e-18
445.3435105260072 1.8920735975085038e-18
445.44445600509005 1.906406013373538e-18
445.54540148417277 1.887238089662655e-18
445.6463469632556 1.8891994963107177e-18
445.7472924423384 1.9222203859363912e-18
445.8482379214212 1.972580360825293e-18
445.949183400504 1.961661740981685e-18
446.05012887958674 1.9577887154734608e-18
446.1510743586696 1.9924519173124596e-18
446.25201983775236 1.989206754223895e-18
446.35296531683514 1.90119316783855e-18
446.4539107959179 1.9505063908134197e-18
446.5548562750007 2.0275178421195396e-18
446.65580175408354 1.9428878197334583e-18
446.75674723316627 1.935943783408177e-18
446.8576927122491 1.989939479349153e-18
446.9586381913319 1.944380677086028e-18
447.05958367041467 1.9588058940263786e-18
447.16052914949745 1.9858592978547082e-18
447.26147462858023 1.9120626868067088e-18
447.36242010766307 1.8460571041207486e-18
447.4633655867458 1.845274420440855e-18
447.56431106582863 1.8568537417681937e-18
447.6652565449114 1.877629525042266e-18
447.7662020239942 1.919754064925903e-18
447.867147503077 1.9245892385332234e-18
447.96809298215976 1.9148167664037604e-18
448.0690384612426 1.8857981594602e-18
448.1699839403253 1.8703820802186472e-18
448.27092941940816 1.9059991694731155e-18
448.37187489849094 1.9386871070670957e-18
448.4728203775737 1.9191335130014537e-18
448.57376585665656 1.890116509342298e-18
448.6747113357393 1.9583463502518454e-18
448.7756568148221 1.904401892058076e-18
448.8766022939049 1.904271878325907e-18
448.9775477729877 1.9585345510782164e-18
449.0784932520705 1.8809267261009756e-18
449.17943873115325 1.9393289115621292e-18
449.2803842102361 1.9825407145289998e-18
449.3813296893188 1.9188064665893283e-18
449.48227516840166 1.8818681125778192e-18
449.58322064748444 2.004197248252975e-18
449.6841661265672 1.990824829515731e-18
449.78511160565 1.8982917327286026e-18
449.8860570847328 1.9577736621475306e-18
449.9870025638156 1.914807184757053e-18
450.08794804289835 1.9131568348166847e-18
450.1888935219812 1.8731180662812856e-18
450.28983900106397 1.906747800209871e-18
450.39078448014675 1.9366300385573387e-18
450.49172995922953 1.870954320771114e-18
450.5926754383123 1.852474382906787e-18
450.69362091739515 1.845270541765506e-18
450.7945663964779 1.8517549497402393e-18
450.8955118755607 1.8845105782564113e-18
450.9964573546435 1.8918435977282406e-18
451.0974028337263 1.845535786014497e-18
451.1983483128091 1.8733612966759156e-18
451.29929379189184 1.819390635749368e-18
451.4002392709747 1.8399912247255744e-18
451.5011847500574 1.848714560270105e-18
451.60213022914024 1.8328107818833216e-18
451.703075708223 1.8445884908813045e-18
451.8040211873058 1.8793498881328653e-18
451.90496666638865 1.855567498665226e-18
452.00591214547137 1.845263542015961e-18
452.1068576245542 1.844900277658972e-18
452.207803103637 1.8732108558635276e-18
452.3087485827198 1.8466395524211155e-18
452.40969406180255 1.8324607132357203e-18
452.51063954088534 1.805265858536114e-18
452.6115850199682 1.8219472455769512e-18
452.7125304990509 1.8798308969032226e-18
452.81347597813374 1.940022336412973e-18
452.9144214572165 1.8993357537935665e-18
