# lambda flux
# nm Wm^-2nm^-1
444.5007732596686 4.374407799863427e-19
444.55121370813947 4.346338289017201e-19
444.60165415661027 4.533102056531585e-19
444.6520946050811 4.2920930397260493e-19
444.70253505355197 4.2324741779841743e-19
444.75297550202276 4.503003807358359e-19
444.8034159504936 4.34828132067471e-19
444.85385639896447 4.347529102612141e-19
444.90429684743526 4.362966892133938e-19
444.95473729590606 4.2670847123870576e-19
445.00517774437697 4.363071128544549e-19
445.05561819284776 4.3580181916705e-19
445.10605864131855 4.41810223031511e-19
445.1564990897894 4.68893036052454e-19
445.20693953826026 4.630642245978024e-19
445.25737998673105 4.2953855700158037e-19
445.3078204352019 4.51394194344522e-19
445.35826088367276 4.669739413188424e-19
445.40870133214355 4.667582743803076e-19
445.4591417806144 4.419967736116946e-19
445.50958222908525 4.3353130171718135e-19
445.56002267755605 4.343525062701012e-19
445.61046312602684 4.056133094260284e-19
445.66090357449775 4.306079338473754e-19
445.71134402296855 4.0198630257757065e-19
445.76178447143934 3.9989781630381997e-19
445.8122249199102 4.382535450999022e-19
445.86266536838104 4.503407510176328e-19
445.91310581685184 4.5411321697934585e-19
445.9635462653227 4.67940045504976e-19
446.01398671379354 4.390292583480934e-19
446.06442716226434 4.435539828217314e-19
446.1148676107352 4.036014137347219e-19
446.16530805920604 4.170592491936585e-19
446.21574850767684 4.2248718563042725e-19
446.26618895614763 4.36233965800644e-19
446.3166294046185 4.042684529063516e-19
446.36706985308933 4.216775420326104e-19
446.4175103015601 4.3107332552192923e-19
446.467950750031 4.0989615821660027e-19
446.51839119850183 3.823599573585069e-19
446.5688316469726 4.219251860837328e-19
446.6192720954435 4.511816064209878e-19
446.66971254391433 3.9867412743341577e-19
446.7201529923851 4.362385988479015e-19
446.7705934408559 4.456100582803884e-19
446.8210338893268 4.308598599921115e-19
446.8714743377976 4.119040242255742e-19
446.9219147862684 4.390265015253968e-19
446.97235523473927 4.121771101253474e-19
447.0227956832101 4.282231851436701e-19
447.0732361316809 4.2060587139997935e-19
447.12367658015177 4.395747816485436e-19
447.1741170286226 4.458718340558525e-19
447.2245574770934 4.409831182616317e-19
447.27499792556426 4.184826149688514e-19
447.3254383740351 4.2359152221680534e-19
447.3758788225059 4.2114243454762855e-19
447.4263192709767 4.478114512333992e-19
447.47675971944756 4.295173601609933e-19
447.5272001679184 4.371048627099597e-19
447.5776406163892 4.487866853457419e-19
447.62808106486005 4.754234154509925e-19
447.6785215133309 4.38792786558933e-19
447.7289619618017 4.384489459649677e-19
447.77940241027255 4.193693185923256e-19
447.8298428587434 4.064676085440019e-19
447.8802833072142 3.8599192569906485e-19
447.930723755685 4.0755123193366978e-19
447.9811642041559 4.1017131298046365e-19
448.0316046526267 4.1411864592333063e-19
448.0820451010975 4.634587506183826e-19
448.13248554956834 4.101854238111452e-19
448.1829259980392 4.1825250093994655e-19
448.23336644651 4.079598358068138e-19
448.28380689498084 4.226988713381242e-19
448.3342473434517 3.789190896910347e-19
448.3846877919225 3.9449610101596614e-19
448.43512824039334 4.2089594921711826e-19
448.4855686888642 4.491504042922451e-19
448.536009137335 4.566667335314031e-19
448.5864495858058 4.385737911617516e-19
448.6368900342767 4.367615965094883e-19
448.6873304827475 4.293928925033572e-19
448.7377709312183 4.278405622846173e-19
448.78821137968913 4.595997276914055e-19
448.83865182816 4.138823848590041e-19
448.8890922766308 4.378389018199612e-19
448.9395327251016 4.0893006359305923e-19
448.9899731735725 4.167736534631315e-19
449.0404136220433 3.907540935155304e-19
449.09085407051407 4.222470237835527e-19
449.141294518985 4.1484757058476756e-19
449.1917349674558 3.91881928876504e-19
449.24217541592657 4.1340074044148813e-19
449.2926158643974 4.32256354337902e-19
449.34305631286827 4.211780530432616e-19
449.39349676133907 4.0379372712706736e-19
449.4439372098099 4.2354163680099678e-19
449.49437765828077 4.022993690332291e-19
449.54481810675156 4.1693774607488244e-19
449.5952585552224 3.9992106989331034e-19
449.64569900369327 4.0930076996257157e-19
449.69613945216406 4.174521527147778e-19
449.74657990063486 4.195178010014929e-19
449.79702034910576 3.885698056169013e-19
449.84746079757656 4.0285179570113145e-19
449.89790124604735 4.009508344944198e-19
449.9483416945182 4.2590875268618323e-19
449.99878214298906 4.5703749909715615e-19
450.04922259145985 4.228884293769521e-19
450.0996630399307 4.395331940378501e-19
450.15010348840156 4.2335893197866393e-19
450.20054393687235 4.1329610729912047e-19
450.2509843853432 4.47956965493194e-19
450.30142483381405 4.0998139242028443e-19
450.35186528228485 4.684280481375155e-19
450.40230573075564 4.3076027273094297e-19
450.4527461792265 4.0509491837347246e-19
450.50318662769735 4.412864280245059e-19
450.55362707616814 4.558895038006732e-19
450.604067524639 4.534827505598189e-19
450.65450797310984 4.476720278840538e-19
450.70494842158064 4.466332162504631e-19
450.7553888700515 4.699312403178776e-19
450.80582931852234 4.5404669446113e-19
450.85626976699314 4.0502368585406055e-19
450.90671021546393 4.365235630558805e-19
450.95715066393484 4.167033535003713e-19
451.00759111240563 4.368768970888953e-19
451.05803156087643 4.4681148551620705e-19
451.1084720093473 4.437027474685639e-19
451.15891245781813 4.245752364132028e-19
451.2093529062889 4.102644122046585e-19
